year,state,forest_cover_percentage,deforestation_rate
2002,Kedah,70.16401778969454,1.0409892129226392
2003,Kedah,69.69511035557325,0.4689074341212897
2004,Kedah,68.94714888940487,0.7479614661683759
2005,Kedah,68.15054208557166,0.7966068038332106
2006,Kedah,67.28889972231183,0.861642363259847
2007,Kedah,66.65094185989092,0.6379578624208988
2008,Kedah,65.61142356430588,1.0395182955850415
2009,Kedah,64.74127089359278,0.8701526707130902
2010,Kedah,63.36848475551777,1.3727861380750104
2011,Kedah,62.55969035088733,0.8087944046304477
2012,Kedah,61.621140023975954,0.9385503269113783
2013,Kedah,60.84712230782727,0.7740177161486761
2014,Kedah,59.194546679036385,1.6525756287908953
2015,Kedah,57.78078498655687,1.4137616924795149
2016,Kedah,56.206588238755096,1.5741967478017667
2017,Kedah,54.51251172793913,1.6940765108159703
2018,Kedah,53.034344869177666,1.4781668587614667
2019,Kedah,51.79257543967295,1.2417694295047106
2020,Kedah,50.86558232041413,0.9269931192588258
2021,Kedah,50.07622503774479,0.7893572826693368
2022,Kedah,49.477036353722,0.5991886840227908
2023,Kedah,48.68957025048671,0.7874661032352827
2001,Kedah,70.64921038005352,0.3782358868108096
2002,Kedah,69.60979714999259,1.0394132300609276
2003,Kedah,69.1416251745401,0.46817197545249095
2004,Kedah,68.39460929808875,0.7470158764513489
2005,Kedah,67.59936834606903,0.7952409520197271
2006,Kedah,66.73846144147798,0.8609069045910482
2007,Kedah,66.10081877562942,0.6376426658485564
2008,Kedah,65.06193087318907,1.038887902440357
2009,Kedah,64.19230353009654,0.8696273430925195
2010,Kedah,62.819937654117986,1.372365875978554
2011,Kedah,62.01166857710811,0.8082690770098773
2012,Kedah,61.07437903648611,0.937289540622009
2013,Kedah,60.303618351584966,0.7707606849011386
2014,Kedah,58.65997329234377,1.6436450592411957
2015,Kedah,57.25083448292527,1.409138809418494
2016,Kedah,55.684727780480294,1.5661067024449797
2017,Kedah,53.99832105292466,1.68640672755564
2018,Kedah,52.52961009133345,1.4687109615911964
2019,Kedah,51.29824214871604,1.2313679426174133
2020,Kedah,50.38154545082041,0.9166966978956427
2021,Kedah,49.60090860665254,0.7806368441678653
2022,Kedah,49.00896944379362,0.591939162858917
2023,Kedah,48.23274535163855,0.7762240921550725
2001,Kedah,68.32400526588407,0.3613203374284372
2002,Kedah,67.31264453076162,1.0113607351224592
2003,Kedah,66.85382338695528,0.45882114380633476
2004,Kedah,66.12655982903738,0.7272635579178955
2005,Kedah,65.34823442640003,0.7783254026373548
2006,Kedah,64.49699355002747,0.8512408763725496
2007,Kedah,63.86575988114988,0.6312336688775956
2008,Kedah,62.83569748273511,1.0300623984147712
2009,Kedah,61.97542097128874,0.8602765114463635
2010,Kedah,60.60893876466058,1.3664822066281637
2011,Kedah,59.80455711204292,0.804381652617655
2012,Kedah,58.87504242020536,0.9295146918375645
2013,Kedah,58.1204618260178,0.7545805941875651
2014,Kedah,56.5147454209818,1.6057164050360007
2015,Kedah,55.12746024057904,1.3872851804027582
2016,Kedah,53.59518463689881,1.5322756036802352
2017,Kedah,51.942714073632025,1.6524705632667815
2018,Kedah,50.51424320777653,1.4284708658554908
2019,Kedah,49.3281585060523,1.1860847017242304
2020,Kedah,48.456639983525726,0.8715185225265737
2021,Kedah,47.71613816956945,0.7405018139562738
2022,Kedah,47.158975695192304,0.5571624743771453
2023,Kedah,46.43444384090138,0.7245318542909285
2001,Kedah,60.850169208026585,0.2628739413335126
2002,Kedah,60.06018153221257,0.7899876758140214
2003,Kedah,59.704429667562174,0.3557518646503892
2004,Kedah,59.11364622546851,0.5907834420936617
2005,Kedah,58.47327185599299,0.6403743694755234
